date_time,response_time
05/16/2021 16:14:10,1.073482037
05/16/2021 16:14:13,0.9856743813
05/16/2021 16:14:15,0.9889757633
05/16/2021 16:14:16,1.130887985
05/16/2021 16:14:19,0.8814570904
05/16/2021 16:14:26,0.6795525551
05/16/2021 16:14:28,0.6772465706
05/16/2021 16:14:33,0.7434029579
05/16/2021 16:14:36,0.6325929165
05/16/2021 16:14:36,0.5881752968
05/16/2021 16:14:40,0.9794378281
05/16/2021 16:14:48,0.6122670174
05/16/2021 16:15:03,0.6747527122
05/16/2021 16:15:09,0.7368803024
05/16/2021 16:14:10,1.317944288
05/16/2021 16:14:14,1.013772964
05/16/2021 16:14:16,1.099718809
05/16/2021 16:14:28,0.6334383488
05/16/2021 16:14:29,0.5748286247
05/16/2021 16:14:35,0.7684597969
05/16/2021 16:14:37,0.8095452785
05/16/2021 16:14:38,0.602042675
05/16/2021 16:14:43,0.8191950321
05/16/2021 16:14:47,0.7248628139
05/16/2021 16:14:52,0.09
05/16/2021 16:14:56,0.7012984753
05/16/2021 16:14:59,0.5479872227
05/16/2021 16:15:01,0.08
05/16/2021 16:15:20,0.6889035702
05/16/2021 16:14:12,1.031476021
05/16/2021 16:14:12,0.8919391632
05/16/2021 16:14:15,1.008981466
05/16/2021 16:14:16,0.9774849415
05/16/2021 16:14:24,0.6593503952
05/16/2021 16:14:30,0.5879218578
05/16/2021 16:14:33,0.5988476276
05/16/2021 16:14:45,0.14
05/16/2021 16:14:59,0.6988320351
05/16/2021 16:15:11,0.11
05/16/2021 16:15:17,0.7356176376
05/16/2021 16:15:18,0.7749099731
05/16/2021 16:14:12,0.8441388607
05/16/2021 16:14:19,0.543307066
05/16/2021 16:14:25,0.6539030075
05/16/2021 16:14:25,0.6340150833
05/16/2021 16:14:32,0.7056062222
05/16/2021 16:14:46,0.5576658249
05/16/2021 16:14:48,0.9288549423
05/16/2021 16:14:49,0.5411624908
05/16/2021 16:15:05,0.1
05/16/2021 16:15:06,0.5692870617
05/16/2021 16:15:13,1.565636635
05/16/2021 16:15:17,0.11
05/16/2021 16:15:20,0.13
05/16/2021 16:14:10,1.316333532
05/16/2021 16:14:11,1.108871222
05/16/2021 16:14:13,0.7294666767
05/16/2021 16:14:18,1.105649948
05/16/2021 16:14:18,1.090327024
05/16/2021 16:14:20,1.128893852
05/16/2021 16:14:20,0.7449464798
05/16/2021 16:14:20,0.7414643764
05/16/2021 16:14:24,1.028547287
05/16/2021 16:14:40,0.6313705444
05/16/2021 16:14:50,0.9938824177
05/16/2021 16:14:50,0.7831237316
05/16/2021 16:14:51,0.7808802128
05/16/2021 16:15:04,0.1
05/16/2021 16:15:15,1.125138998
05/16/2021 16:14:11,0.8447549343
05/16/2021 16:14:15,1.030883789
05/16/2021 16:14:17,0.8860704899
05/16/2021 16:14:18,1.178287268
05/16/2021 16:14:20,0.9144678116
05/16/2021 16:14:22,0.6876912117
05/16/2021 16:14:22,0.6292750835
05/16/2021 16:14:23,0.6892230511
05/16/2021 16:14:34,0.5110189915
05/16/2021 16:14:41,0.12
05/16/2021 16:15:00,0.7193965912
05/16/2021 16:15:10,0.6923205853
05/16/2021 16:14:16,1.042966604
05/16/2021 16:14:19,0.9502420425
05/16/2021 16:14:23,0.835955143
05/16/2021 16:14:25,0.6189537048
05/16/2021 16:14:29,0.9382638931
05/16/2021 16:14:29,0.7675039768
05/16/2021 16:14:34,0.5476231575
05/16/2021 16:14:39,0.5909833908
05/16/2021 16:14:42,1.117704391
05/16/2021 16:14:53,0.5408034325
05/16/2021 16:14:54,0.7072398663
05/16/2021 16:14:54,0.6906201839
05/16/2021 16:14:56,0.71316576
05/16/2021 16:14:58,0.1
05/16/2021 16:15:02,0.6005318165
05/16/2021 16:15:19,0.6702394485
05/16/2021 16:14:14,1.029539108
05/16/2021 16:14:14,0.8475778103
05/16/2021 16:14:15,0.790086031
05/16/2021 16:14:19,0.9789850712
05/16/2021 16:14:19,0.6327521801
05/16/2021 16:14:22,0.690510273
05/16/2021 16:14:26,0.70936203
05/16/2021 16:14:26,0.6925387383
05/16/2021 16:14:27,0.7141506672
05/16/2021 16:14:28,0.6594717503
05/16/2021 16:14:31,0.7164812088
05/16/2021 16:14:39,0.7046906948
05/16/2021 16:15:03,1.143968344
05/16/2021 16:15:07,0.12
05/16/2021 16:15:09,1.11474514
05/16/2021 16:15:16,0.8366441727
05/16/2021 16:15:21,0.8530230522
05/16/2021 16:14:10,1.018632889
05/16/2021 16:14:12,0.7916648388
05/16/2021 16:14:13,0.9545509815
05/16/2021 16:14:13,0.6093273163
05/16/2021 16:14:14,0.5967023373
05/16/2021 16:14:17,0.9284899235
05/16/2021 16:14:17,0.8216533661
05/16/2021 16:14:20,0.6654026508
05/16/2021 16:14:21,0.8966162205
05/16/2021 16:14:24,0.6912922859
05/16/2021 16:14:27,0.7114794254
05/16/2021 16:14:30,0.7158951759
05/16/2021 16:14:44,0.7028796673
05/16/2021 16:14:57,0.09
05/16/2021 16:15:01,0.6992738247
05/16/2021 16:15:06,0.7328932285
05/16/2021 16:15:08,0.676967144
05/16/2021 16:14:17,0.9726989269
05/16/2021 16:14:18,0.645277977
05/16/2021 16:14:20,0.6043729782
05/16/2021 16:14:27,0.6359336376
05/16/2021 16:14:31,0.5883712769
05/16/2021 16:14:45,0.5522360802
05/16/2021 16:14:55,0.5400466919
05/16/2021 16:15:12,0.7945113182
05/16/2021 16:15:22,0.6995801926
